Ingredient,Label,Usage_Count,Mean_Rank,Std_Rank,Median_Rank,Mean_Price,Dry_Rate,Oily_Rate,Normal_Rate,Combination_Rate,Brand_Count
butylene glycol,Moisturizer,150,4.188,0.5534419450829339,4.3,72.16,0.6266666666666667,0.6133333333333333,0.6933333333333334,0.6933333333333334,41
pentylene glycol,Moisturizer,49,4.093877551020408,0.8773559148718064,4.3,95.9795918367347,0.6938775510204082,0.6122448979591837,0.6938775510204082,0.6938775510204082,25
methylparaben,Moisturizer,18,4.016666666666666,1.0274182377659633,4.3,122.55555555555556,0.6666666666666666,0.5,0.6666666666666666,0.6111111111111112,5
sorbic acid,Moisturizer,11,4.2272727272727275,0.24936282437809018,4.2,78.0909090909091,0.7272727272727273,0.5454545454545454,0.7272727272727273,0.6363636363636364,9
dicaprylyl carbonate,Moisturizer,17,4.429411764705883,0.2229481606852615,4.4,64.88235294117646,0.8235294117647058,0.7647058823529411,0.8823529411764706,0.8823529411764706,12
cetearyl alcohol,Moisturizer,59,4.342372881355932,0.22682470052695067,4.4,70.50847457627118,0.7288135593220338,0.559322033898305,0.7627118644067796,0.6949152542372882,32
cetearyl olivate,Moisturizer,10,4.4,0.24494897427831794,4.4,68.7,0.8,0.6,0.9,0.9,8
sorbitan olivate,Moisturizer,13,4.36923076923077,0.24961508830135323,4.4,62.30769230769231,0.6923076923076923,0.5384615384615384,0.9230769230769231,0.8461538461538461,10
sclerocarya birrea seed oil,Moisturizer,9,4.377777777777777,0.06666666666666674,4.4,84.22222222222223,1.0,1.0,1.0,1.0,1
sh oligopeptide,Moisturizer,8,4.55,0.09258200997725481,4.6,54.0,1.0,1.0,1.0,1.0,3
sh polypeptide,Moisturizer,16,4.5625,0.08062257748298521,4.6,51.5,1.0,1.0,1.0,1.0,3
palmitoyl tetrapeptide,Moisturizer,19,4.163157894736842,0.313068196893956,4.3,66.10526315789474,0.5789473684210527,0.631578947368421,0.5789473684210527,0.631578947368421,8
palmitoyl tripeptide,Moisturizer,12,4.308333333333334,0.33967453227875044,4.35,70.16666666666667,0.75,0.75,0.75,0.75,7
arginine,Moisturizer,10,4.340000000000001,0.24129281427805155,4.4,76.8,0.8,0.7,0.8,0.8,9
glycine,Moisturizer,8,4.35,0.16903085094570336,4.35,71.5,0.625,0.5,0.625,0.625,6
proline,Moisturizer,6,4.4,0.20976176963403023,4.35,59.833333333333336,0.5,0.5,0.5,0.6666666666666666,6
serine,Moisturizer,8,4.4,0.1511857892036907,4.4,51.25,0.625,0.625,0.625,0.75,7
coco caprylate caprate,Moisturizer,8,4.3500000000000005,0.3251373336211728,4.4,85.25,0.875,0.75,0.875,0.875,4
sodium hyaluronate,Moisturizer,108,4.223148148148148,0.49286620835915806,4.3,64.53703703703704,0.5833333333333334,0.6203703703703703,0.6666666666666666,0.7037037037037037,44
linoleic acid,Moisturizer,24,4.158333333333333,0.9296641126336117,4.35,63.5,0.5833333333333334,0.5,0.5416666666666666,0.625,13
linolenic acid,Moisturizer,8,4.45,0.19272482233188631,4.4,58.25,0.75,0.75,0.75,0.875,6
lecithin,Moisturizer,34,4.247058823529412,0.3268168740475473,4.3,75.97058823529412,0.5882352941176471,0.6470588235294118,0.7058823529411765,0.6764705882352942,18
sodium lactate,Moisturizer,8,4.3125,0.34820970692960307,4.4,72.625,0.375,0.375,0.375,0.375,5
sodium pca,Moisturizer,23,4.265217391304349,0.34720794876240163,4.4,75.82608695652173,0.6086956521739131,0.6086956521739131,0.6521739130434783,0.6956521739130435,14
sorbitan isostearate,Moisturizer,14,4.192857142857144,0.21649048909393662,4.2,72.21428571428571,0.7142857142857143,0.6428571428571429,0.7857142857142857,0.7142857142857143,9
carbomer,Moisturizer,68,4.336764705882353,0.26592806330873786,4.4,60.98529411764706,0.6029411764705882,0.5882352941176471,0.6911764705882353,0.6764705882352942,33
